"Legacy item / contract surface","Current owner / location","Decision","Approved target / replacement","Notes"
".cline/workflow-config.yaml",".cline/workflow-config.yaml","Delete","None","Already governed by `FR-54`; included here so the deletion decision remains visible in the full migration inventory."
"Authored workflow markdown as canonical runtime dependency","/Users/robertboston/Documents/Cline/Workflows/*.md","Update","Code-owned workflow modules, prompt-builder functions, step definitions, and document builders","The authored markdown files remain in the repo as migration-source/reference material for now, but they must no longer be runtime dependencies or canonical owners of workflow behavior."
"BMAD skill workflow markdown as canonical runtime dependency",".cline/skills/**/workflow.md","Update","Code-owned workflow modules, prompt-builder functions, step definitions, and document builders","BMAD workflow markdown may remain for reference during migration, but it must no longer be a runtime dependency."
"BMAD skill step markdown as canonical runtime dependency",".cline/skills/**/steps/**","Update","Code-owned workflow modules, prompt-builder functions, step definitions, and document builders","BMAD step markdown may remain for reference during migration, but it must no longer be a runtime dependency."
"Placeholder interpolation helper layer","src/core/workflows/workflow-placeholders.ts","Delete","FR-14a through FR-14e workflow-module prompt-builder functions with explicit typed inputs","Covers placeholder-text resolution and stable-placeholder assembly behavior."
"Legacy AI-callable placeholder persistence handler","src/core/task/tools/handlers/SetWorkflowPlaceholdersToolHandler.ts","Delete","set_workflow_values","The legacy placeholder-writing handler is retired and replaced by the canonical runtime-owned workflow-value persistence tool defined by `FR-35a` through `FR-35h`."
"Legacy AI-callable placeholder persistence native tool schema","src/core/prompts/system-prompt/tools/set_workflow_placeholders.ts","Delete","set_workflow_values","The placeholder-era model-facing tool schema is retired and replaced by the canonical runtime-owned workflow-value persistence tool defined by `FR-35a` through `FR-35h`."
"Legacy task-state field activeWorkflowId","src/core/task/TaskState.ts field activeWorkflowId","Delete","activeWorkflowName","Legacy workflow identity carrier that competes with activeWorkflowName."
"Legacy task-state field activePlaceholderWorkflowId","src/core/task/TaskState.ts field activePlaceholderWorkflowId","Delete","activeWorkflowName","Placeholder-workflow identity carrier that competes with activeWorkflowName."
"Legacy task-state field activePlaceholderWorkflowSource","src/core/task/TaskState.ts field activePlaceholderWorkflowSource","Delete","Runtime definition lookup from activeWorkflowName","Placeholder-workflow source carrier that should not remain canonical in the runtime-owned architecture."
"Legacy task-state field activePlaceholderWorkflowStableValues","src/core/task/TaskState.ts field activePlaceholderWorkflowStableValues","Delete","activeWorkflowSession.workflowValues","Placeholder-era stable workflow values stored directly on task state."
"Legacy task-state field activePlaceholderWorkflowValues","src/core/task/TaskState.ts field activePlaceholderWorkflowValues","Delete","activeWorkflowSession.workflowValues","Placeholder-era dynamic workflow values stored directly on task state."
"Legacy task-state field activePlaceholderWorkflowDeterministicState","src/core/task/TaskState.ts field activePlaceholderWorkflowDeterministicState","Delete","Runtime-owned deterministic state in activeWorkflowSession and activeWorkflowStepResolutionSession","Placeholder-era deterministic progression state stored directly on task state."
"Legacy task-state field lastPromptedPlaceholderWorkflowChecklistLabel","src/core/task/TaskState.ts field lastPromptedPlaceholderWorkflowChecklistLabel","Delete","None","Legacy focus-chain/checklist prompt state tied to placeholder workflows."
"Legacy task-state field pendingAutoCompletedPlaceholderWorkflowStepNotices","src/core/task/TaskState.ts field pendingAutoCompletedPlaceholderWorkflowStepNotices","Delete","None","Legacy placeholder-workflow auto-complete notice state stored directly on task state."
"Legacy task-state field activeWorkflowJustStarted","src/core/task/TaskState.ts field activeWorkflowJustStarted","Delete","None","Legacy workflow-start marker stored directly on task state."
"Managed-workflow run state","src/core/task/TaskState.ts field managedWorkflowRun","Delete","None","Separate row from the broader managed-workflow subsystem because this state carrier is widely consumed."
"Managed-workflow subsystem file ManagedWorkflowController.ts","src/core/task/managed-workflows/ManagedWorkflowController.ts","Delete","None","Managed-workflow controller surface that must be explicitly dispositioned in the runtime-owned architecture."
"Managed-workflow subsystem file ManagedWorkflowPhaseExtractor.ts","src/core/task/managed-workflows/ManagedWorkflowPhaseExtractor.ts","Delete","None","Managed-workflow phase-extraction surface that must be explicitly dispositioned in the runtime-owned architecture."
"Managed-workflow subsystem file placeholders.ts","src/core/task/managed-workflows/placeholders.ts","Delete","None","Managed-workflow placeholder helper surface that must be explicitly dispositioned in the runtime-owned architecture."
"Managed-workflow subsystem file ManagedWorkflowRenderer.ts","src/core/task/managed-workflows/ManagedWorkflowRenderer.ts","Delete","None","Managed-workflow rendering surface that must be explicitly dispositioned in the runtime-owned architecture."
"Managed-workflow subsystem file types.ts","src/core/task/managed-workflows/types.ts","Delete","None","Managed-workflow contract surface that must be explicitly dispositioned in the runtime-owned architecture."
